       L-Lsep (m)            R (m)            Z (m)          Te (eV)          Ti (eV)         FluxLi+3         FluxLi+2         FluxLi+1        FluxNe+10         FluxNe+9         FluxNe+8         FluxNe+7         FluxNe+6         FluxNe+5         FluxNe+4         FluxNe+3         FluxNe+2         FluxNe+1          FluxD+1            nLi+3            nLi+2            nLi+1           nNe+10            nNe+9            nNe+8            nNe+7            nNe+6            nNe+5            nNe+4            nNe+3            nNe+2            nNe+1             nD+1          |B| (T)     Bangle (deg)       q_e (W/m2)       q_i (W/m2)     q_tot (W/m2)
 -2.08679944e-02   4.06982200e+00  -3.26764874e+00   1.07056031e+00   1.07061614e+00   6.61026296e+14   1.62705419e+16   1.03392318e+17   1.66556329e+12   2.03668054e+12   2.92455154e+14   7.80020547e+15   3.20807279e+16   6.11288235e+16   2.43734033e+17   3.12786577e+18   4.94907527e+19   5.33034700e+19   9.94958520e+22   3.95659884e+12   9.77490193e+13   6.22100917e+14   1.00000000e+10   1.22469867e+10   1.74922815e+12   4.67840072e+13   1.92486477e+14   3.66060209e+14   1.45839427e+15   1.87270860e+16   2.97454140e+17   3.20725602e+17   5.98215281e+20   8.84370335e+00   8.89822449e+01   5.22288883e+04   4.25491924e+04   3.21239105e+05
 -1.69112377e-02   4.07281578e+00  -3.26483885e+00   1.13154485e+00   1.13424602e+00   7.12110968e+14   1.82746364e+16   1.41033648e+17   1.66124535e+12   2.10891464e+12   4.29985879e+14   9.90493083e+15   3.90284833e+16   7.26738971e+16   2.86326570e+17   3.77495736e+18   6.79710266e+19   7.72132790e+19   1.55742657e+23   4.26544768e+12   1.09689097e+14   8.45917799e+14   1.00000000e+10   1.26918715e+10   2.56764264e+12   5.91398511e+13   2.33247702e+14   4.34730322e+14   1.71474858e+15   2.26546967e+16   4.08164229e+17   4.63732267e+17   9.35602134e+20   8.83746653e+00   8.90035670e+01   8.54803319e+04   7.09740773e+04   5.12049764e+05
 -1.33147296e-02   4.07556883e+00  -3.26225490e+00   1.17573623e+00   1.18352594e+00   7.51526948e+14   1.90148648e+16   1.71221801e+17   1.70950530e+12   2.18600522e+12   7.24875326e+14   1.40545634e+16   5.12215645e+16   9.23712111e+16   3.54343768e+17   4.54625328e+18   8.94627354e+19   1.04033841e+20   2.36352180e+23   4.36378486e+12   1.10753273e+14   1.00136186e+15   1.00000000e+10   1.27755543e+10   4.16480785e+12   8.10803780e+13   2.96008755e+14   5.34945634e+14   2.05738086e+15   2.65160277e+16   5.21475425e+17   6.06074517e+17   1.37227813e+21   8.83186668e+00   8.89941950e+01   1.32907112e+05   1.12259958e+05   7.85558932e+05
 -1.01366860e-02   4.07798354e+00  -3.25998851e+00   1.27889701e+00   1.28957698e+00   1.06230336e+15   2.16741536e+16   2.11293649e+17   1.90463590e+12   2.44011009e+12   1.98368710e+15   2.86662838e+16   9.30282405e+16   1.68679282e+17   6.26674410e+17   7.12986308e+18   1.29762692e+20   1.45027679e+20   3.71208103e+23   5.42842279e+12   1.12450401e+14   1.11166948e+15   1.00000000e+10   1.27924922e+10   1.00735251e+13   1.46440982e+14   4.76997344e+14   8.62393847e+14   3.20266364e+15   3.66808272e+16   6.76163731e+17   7.58311834e+17   1.93492272e+21   8.82691820e+00   8.89299493e+01   2.25007426e+05   1.89811975e+05   1.27565539e+06
 -7.36598516e-03   4.08014111e+00  -3.25796346e+00   1.32112177e+00   1.33085289e+00   1.03148678e+15   1.98664398e+16   2.14199363e+17   1.90124130e+12   2.41792796e+12   2.85701041e+15   3.39899777e+16   1.06657498e+17   2.05474962e+17   7.97488839e+17   9.65909005e+18   1.61178245e+20   1.70764618e+20   5.05620218e+23   5.34138713e+12   1.03791755e+14   1.12694742e+15   1.00000000e+10   1.27109100e+10   1.47682440e+13   1.76510614e+14   5.54002498e+14   1.06487219e+15   4.13470950e+15   5.02445068e+16   8.44647942e+17   8.96887800e+17   2.65146030e+21   8.82256098e+00   8.89427045e+01   3.13537407e+05   2.67935847e+05   1.74749806e+06
 -5.00453860e-03   4.08201327e+00  -3.25620628e+00   1.31747151e+00   1.32231591e+00   1.04531584e+15   1.82981260e+16   2.30589393e+17   1.88350970e+12   2.37839783e+12   2.88412635e+15   3.04967228e+16   1.01708406e+17   2.31956745e+17   1.10682398e+18   1.38954849e+19   1.94309877e+20   1.91880131e+20   6.55495375e+23   5.65814223e+12   9.76168920e+13   1.23125827e+15   1.00000000e+10   1.26323703e+10   1.54787597e+13   1.60985686e+14   5.42461601e+14   1.25287432e+15   6.00860657e+15   7.50949211e+16   1.03315111e+18   1.01660395e+18   3.49139640e+21   8.81885484e+00   8.89681677e+01   4.00681375e+05   3.43729108e+05   2.25326906e+06
 -3.08817571e-03   4.08357178e+00  -3.25474349e+00   1.40587327e+00   1.41537026e+00   1.23671827e+15   1.77445002e+16   2.26581581e+17   1.89496586e+12   2.38722597e+12   3.84430054e+15   3.76384357e+16   1.32927589e+17   3.64018854e+17   1.82015004e+18   1.98908234e+19   2.44184316e+20   2.20933558e+20   8.13261401e+23   6.63993705e+12   9.43874102e+13   1.19704978e+15   1.00000000e+10   1.26030364e+10   2.06357974e+13   2.00405269e+14   7.09532932e+14   1.95229865e+15   9.78281309e+15   1.06591308e+17   1.29352461e+18   1.16510516e+18   4.31551073e+21   8.81585897e+00   8.89812685e+01   5.24618894e+05   4.59470924e+05   2.85318100e+06
 -1.63487957e-03   4.08478843e+00  -3.25360157e+00   1.45286729e+00   1.46411297e+00   1.27903050e+15   1.73747417e+16   2.37543762e+17   1.91352744e+12   2.41173535e+12   4.52157188e+15   4.38640552e+16   1.63394126e+17   4.93515751e+17   2.32089586e+18   2.61218168e+19   3.00267403e+20   2.50458610e+20   9.30100587e+23   6.68611160e+12   9.10558540e+13   1.24300581e+15   1.00000000e+10   1.26018746e+10   2.36523968e+13   2.29637723e+14   8.53982435e+14   2.57718945e+15   1.21212408e+16   1.36606547e+17   1.57312615e+18   1.30926693e+18   4.87919374e+21   8.81363257e+00   8.89783940e+01   6.10964862e+05   5.44965032e+05   3.30390246e+06
  1.63487957e-03   4.08563509e+00  -3.25280690e+00   1.50784966e+00   1.51780753e+00   1.19372960e+15   1.67757691e+16   2.25724933e+17   1.88555587e+12   2.37027590e+12   5.33970218e+15   5.04226633e+16   2.16060210e+17   7.65510918e+17   3.41117163e+18   4.77562489e+19   4.26535621e+20   3.07946716e+20   1.13072786e+24   6.27837689e+12   8.87598996e+13   1.20109403e+15   1.00000000e+10   1.25670381e+10   2.81418669e+13   2.67235103e+14   1.14250014e+15   4.03395093e+15   1.79240630e+16   2.51122692e+17   2.26554393e+18   1.63702781e+18   5.98714920e+21   8.80859745e+00   8.90081728e+01   7.88721171e+05   6.91032449e+05   4.10298631e+06
  8.20327840e-03   4.08946124e+00  -3.24921574e+00   1.52906637e+00   1.54048563e+00   7.51549569e+14   1.53885534e+16   2.29882599e+17   1.82273650e+12   2.27388321e+12   2.64151510e+15   3.63023917e+16   2.25823637e+17   8.85511818e+17   9.75080100e+18   9.21129538e+19   4.89360443e+20   3.43647393e+20   1.29958159e+24   4.12314831e+12   8.42732568e+13   1.27131523e+15   1.00000000e+10   1.24778708e+10   1.44604795e+13   1.98490892e+14   1.23647462e+15   4.85513083e+15   5.34182661e+16   5.05467665e+17   2.67570413e+18   1.88503851e+18   7.12444189e+21   8.79835544e+00   8.90430732e+01   9.02624179e+05   8.08592291e+05   4.73531032e+06
